L_IMU_Ang,R_IMU_Ang,L_IMU_Vel,R_IMU_Vel,L_Cmd,R_Cmd,L_Ref_Ang,R_Ref_Ang,L_Ref_Vel,R_Ref_Vel,Peak,Time
-7.896543831540384,-27.622796978713666,-12.365911345082736,-99.59868772411687,0.8217543981585441,3.9169199496295675,-0.04121808859090173,-0.29204024747351315,-20.544890406178375,-97.93029974692602,5.42589693248368,23.78324842453003
-7.896543831540384,-27.622796978713666,-14.465552758068156,-84.36408026245522,0.8963463161061238,3.731117827133044,-0.04226867005605193,-0.3393216679401324,-22.409714619404497,-93.28642872002462,5.42589693248368,23.793287754058838
-7.896543831540384,-27.622796978713666,-14.856183718623583,-69.12947280079345,0.9624106234769793,3.4629413620857283,-0.029273834328344985,-0.3694550576871202,-24.06099743278269,-86.58277042858539,5.42589693248368,23.803304195404053
-8.522774090180832,-27.622796978713666,-10.656900892652743,-53.87045090409708,1.0024350431126239,3.125828554780367,-0.004597352710991329,-0.3688732736249098,-25.060991011633373,-78.15493570134979,5.42589693248368,23.813586711883545
-8.522774090180832,-27.282215609979403,-6.457618066681903,-42.85954070344087,1.0065891724159512,2.7440329631379377,0.022981048990716957,-0.33363171621037957,-25.164154784174016,-68.6091648713537,5.42589693248368,23.823609828948975
-7.907530327306006,-26.93064774547952,-3.5523002975509144,-33.80178530556191,0.9838480817647968,2.344273757729099,0.03895106297310313,-0.2766026696423753,-24.59522826754559,-58.613759009968526,5.42589693248368,23.833324670791626
-7.907530327306006,-26.688944838635848,-0.646982528419926,-26.52628366521708,0.9420342292598678,1.9422570614095982,0.03991006272254947,-0.22211560697367624,-23.54985797992863,-48.56197942541429,5.42589693248368,23.843343019485474
-7.907530327306006,-26.084687571526672,2.2583352407110624,-17.834744792858828,0.8841622519587542,1.5415778619445022,0.029987795063953316,-0.18492357467494236,-22.103306604092253,-38.544069637979426,5.42589693248368,23.853686809539795
-7.907530327306006,-25.700160219729923,5.163653009842051,-8.337529564354895,0.8129001350082475,1.1377663905069944,0.017635273256560006,-0.15366773938487166,-20.322062493374776,-28.44800145615948,5.42589693248368,23.863174438476562
-6.9846646829938095,-25.700160219729923,9.167620355535178,1.159685664148924,0.7273919175931578,0.731160223613766,0.009807940547279176,-0.11546401409907439,-18.18455274131526,-18.281892190696624,5.42589693248368,23.87328815460205
-6.781414511329814,-24.73334859235524,12.780956740672877,8.02014190890361,0.628116158841755,0.33210269850368096,0.003060855621049545,-0.07161519504282335,-15.702827449653345,-8.304357842468095,5.42589693248368,23.88333010673523
